# Gumbel-Zero joint training x search-shape sweep (plans/gumbel-mcts-results-5-violet-harbor.md). One row per checkpoint (404 total: 101 draws x 4 rungs).
# cvisit/cscale/m columns are RATING-time search shape only (the gaz(...) serving head). Training self-play never reads them: ml_gumbelzero.cpp calls
# gumbelSearch() directly and never touches g_gumbelCVisit/g_gumbelCScale/g_gumbelRootM, so every row's actual self-play search shape is the fixed engine
# default (cvisit=50, cscale=1.0, m=16), regardless of the swept cvisit/cscale/m values below.
# elo/games/cpu_ms_move/playstyle columns are from a PINNED screening fit against ranking/roster_screening_pool.txt (Docs/ranking-workflow.md Workflow A):
# screening only, not certification -- see the results doc's Caveats section before treating any single row's Elo as a reliable ranking.
# Wide pivot of D:\Downloads\Zeph\Board Games\Breakthrough\plans\gumbel-mcts-joint-sweep-agents-5-violet-harbor.tsv: one row per {block, seed}, rung values spread into columns.
# Columns constant across a group's rung values are not suffixed; columns that vary are '<col>_rung<value>'.
# Generated by tools/export_cohort_results.ps1.
block	seed	sims	lr	l2	replaycap	replaywarm	batch	open	cvisit	cscale	m	games	nodes_per_move	search_head_id	slot_rung100	slot_rung400	slot_rung1500	slot_rung4000	model_rung100	model_rung400	model_rung1500	model_rung4000	elo_rung100	elo_rung400	elo_rung1500	elo_rung4000	elo_pm_rung100	elo_pm_rung400	elo_pm_rung1500	elo_pm_rung4000	cpu_ms_move_rung100	cpu_ms_move_rung400	cpu_ms_move_rung1500	cpu_ms_move_rung4000	wl_as_white_rung100	wl_as_white_rung400	wl_as_white_rung1500	wl_as_white_rung4000	wl_as_black_rung100	wl_as_black_rung400	wl_as_black_rung1500	wl_as_black_rung4000	avg_plies_rung100	avg_plies_rung400	avg_plies_rung1500	avg_plies_rung4000	end_piece_margin_rung100	end_piece_margin_rung400	end_piece_margin_rung1500	end_piece_margin_rung4000	eff_elo_per_log2cpu_rung100	eff_elo_per_log2cpu_rung400	eff_elo_per_log2cpu_rung1500	eff_elo_per_log2cpu_rung4000	model_id_rung100	model_id_rung400	model_id_rung1500	model_id_rung4000	full_agent_id_rung100	full_agent_id_rung400	full_agent_id_rung1500	full_agent_id_rung4000
R25	8825	500	0.003	0	500	16	8	0	400	130	12	432	0	gaz(sims=500,cvisit=400,cscale=130,m=12)@1	1098	1099	1100	1101	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1098.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1099.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1100.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1101.txt	587	612	598	604	22	22	22	22	1.622	1.375	1.607	1.991	58-158	63-153	53-163	64-152	63-153	67-149	72-144	63-153	44	44	48	52	-1.0	-0.4	-1.2	0.0	55	59	56	55	learned(model=1098,a13bd570,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1099,65c4dd65,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1100,6d3a0138,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1101,c562256b,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=400,cscale=130,m=12)@1.learned(model=1098,a13bd570,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=400,cscale=130,m=12)@1.learned(model=1099,65c4dd65,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=400,cscale=130,m=12)@1.learned(model=1100,6d3a0138,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=400,cscale=130,m=12)@1.learned(model=1101,c562256b,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R26	8826	400	0.003	0	8000	128	32	8	1000	100	20	432	0	gaz(sims=400,cvisit=1000,cscale=100,m=20)@1	1102	1103	1104	1105	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1102.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1103.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1104.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1105.txt	489	631	687	781	25	21	20	19	2.333	1.347	1.211	1.368	39-177	84-132	99-117	110-106	52-164	53-163	61-155	93-123	47	48	47	49	-1.1	-0.1	-0.1	0.7	44	61	67	75	learned(model=1102,7c6c7a12,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1103,34c0c47d,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1104,74226e72,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1105,da12da67,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=1000,cscale=100,m=20)@1.learned(model=1102,7c6c7a12,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=1000,cscale=100,m=20)@1.learned(model=1103,34c0c47d,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=1000,cscale=100,m=20)@1.learned(model=1104,74226e72,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=1000,cscale=100,m=20)@1.learned(model=1105,da12da67,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R27	8827	300	0.003	0.001	500	16	32	8	800	40	12	432	0	gaz(sims=300,cvisit=800,cscale=40,m=12)@1	1106	1107	1108	1109	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1106.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1107.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1108.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1109.txt	528	524	563	578	24	24	23	23	0.841	0.843	0.857	0.748	60-156	61-155	69-147	65-151	42-174	40-176	44-172	53-163	43	38	42	42	-1.2	-0.9	-0.8	-0.5	54	54	58	61	learned(model=1106,82b75799,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1107,0255075b,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1108,157ccd49,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1109,215827e3,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=800,cscale=40,m=12)@1.learned(model=1106,82b75799,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=800,cscale=40,m=12)@1.learned(model=1107,0255075b,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=800,cscale=40,m=12)@1.learned(model=1108,157ccd49,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=800,cscale=40,m=12)@1.learned(model=1109,215827e3,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R28	8828	500	0.003	0.0003	500	16	32	4	600	100	20	432	0	gaz(sims=500,cvisit=600,cscale=100,m=20)@1	1110	1111	1112	1113	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1110.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1111.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1112.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1113.txt	503	566	604	643	25	23	22	21	1.750	1.487	1.629	1.451	63-153	70-146	71-145	86-130	32-184	44-172	56-160	56-160	41	46	47	45	-1.0	-1.2	-0.7	-0.6	47	54	57	61	learned(model=1110,c25d9af6,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1111,e4b307bb,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1112,32e1a298,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1113,5f748625,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=600,cscale=100,m=20)@1.learned(model=1110,c25d9af6,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=600,cscale=100,m=20)@1.learned(model=1111,e4b307bb,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=600,cscale=100,m=20)@1.learned(model=1112,32e1a298,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=600,cscale=100,m=20)@1.learned(model=1113,5f748625,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R29	8829	500	0.003	0.001	8000	128	32	4	600	40	20	432	0	gaz(sims=500,cvisit=600,cscale=40,m=20)@1	1114	1115	1116	1117	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1114.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1115.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1116.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1117.txt	368	581	625	578	30	23	21	23	1.912	1.333	1.268	1.335	38-178	70-146	79-137	68-148	25-191	49-167	56-160	50-166	47	40	43	43	-0.5	-0.4	-0.5	-0.7	34	56	61	56	learned(model=1114,a762c1b1,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1115,afa323bf,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1116,3974cf62,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1117,eeed5170,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=600,cscale=40,m=20)@1.learned(model=1114,a762c1b1,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=600,cscale=40,m=20)@1.learned(model=1115,afa323bf,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=600,cscale=40,m=20)@1.learned(model=1116,3974cf62,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=600,cscale=40,m=20)@1.learned(model=1117,eeed5170,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R30	8830	500	0.003	0.0003	8000	128	32	4	800	100	12	432	0	gaz(sims=500,cvisit=800,cscale=100,m=12)@1	1118	1119	1120	1121	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1118.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1119.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1120.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1121.txt	458	633	572	625	26	21	23	21	2.697	1.640	1.636	1.487	45-171	83-133	75-141	82-134	38-178	55-161	41-175	53-163	48	46	44	46	-1.7	-0.3	-0.7	-0.8	40	59	54	59	learned(model=1118,fbce7e6c,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1119,26726b19,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1120,e51ef7c4,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1121,b685983c,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=800,cscale=100,m=12)@1.learned(model=1118,fbce7e6c,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=800,cscale=100,m=12)@1.learned(model=1119,26726b19,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=800,cscale=100,m=12)@1.learned(model=1120,e51ef7c4,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=800,cscale=100,m=12)@1.learned(model=1121,b685983c,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R31	8831	300	0.01	0.0003	8000	128	32	0	800	130	8	432	0	gaz(sims=300,cvisit=800,cscale=130,m=8)@1	1122	1123	1124	1125	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1122.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1123.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1124.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1125.txt	446	581	544	609	27	23	24	22	1.337	1.005	1.035	1.014	35-181	51-165	50-166	64-152	45-171	68-148	57-159	65-151	51	45	47	48	-1.2	-0.9	-0.8	-0.6	43	58	54	61	learned(model=1122,232f00a2,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1123,0fa1dacb,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1124,90387dcd,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1125,d702f2af,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=800,cscale=130,m=8)@1.learned(model=1122,232f00a2,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=800,cscale=130,m=8)@1.learned(model=1123,0fa1dacb,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=800,cscale=130,m=8)@1.learned(model=1124,90387dcd,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=800,cscale=130,m=8)@1.learned(model=1125,d702f2af,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R32	8832	300	0.03	0.001	500	16	128	0	1000	130	20	432	0	gaz(sims=300,cvisit=1000,cscale=130,m=20)@1	1126	1127	1128	1129	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1126.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1127.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1128.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1129.txt	496	503	534	485	25	25	24	25	0.929	0.979	0.964	0.910	38-178	45-171	54-162	33-183	55-161	50-166	50-166	57-159	37	38	44	41	-1.5	-0.9	-1.7	-1.5	50	51	54	49	learned(model=1126,a10e1ab9,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1127,246f0223,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1128,6b96f9c5,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1129,5829ba34,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=1000,cscale=130,m=20)@1.learned(model=1126,a10e1ab9,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=1000,cscale=130,m=20)@1.learned(model=1127,246f0223,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=1000,cscale=130,m=20)@1.learned(model=1128,6b96f9c5,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=1000,cscale=130,m=20)@1.learned(model=1129,5829ba34,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R33	8833	300	0.01	0.001	8000	128	32	4	1000	130	12	432	0	gaz(sims=300,cvisit=1000,cscale=130,m=12)@1	1130	1131	1132	1133	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1130.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1131.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1132.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1133.txt	397	493	450	550	29	25	27	23	1.329	0.908	0.988	0.890	42-174	50-166	50-166	62-154	27-189	42-174	31-185	47-169	42	42	42	40	-1.0	-1.0	-1.1	-0.9	38	50	45	56	learned(model=1130,63c09d92,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1131,7beb13a7,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1132,3522f882,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1133,80a4876c,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=1000,cscale=130,m=12)@1.learned(model=1130,63c09d92,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=1000,cscale=130,m=12)@1.learned(model=1131,7beb13a7,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=1000,cscale=130,m=12)@1.learned(model=1132,3522f882,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=1000,cscale=130,m=12)@1.learned(model=1133,80a4876c,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R34	8834	500	0.01	0.001	500	16	8	0	400	70	12	432	0	gaz(sims=500,cvisit=400,cscale=70,m=12)@1	1134	1135	1136	1137	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1134.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1135.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1136.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1137.txt	581	524	633	462	23	24	21	26	1.378	1.464	1.359	1.548	51-165	40-176	66-150	39-177	68-148	61-155	72-144	45-171	41	42	44	45	-1.0	-1.0	-0.8	-1.2	56	50	61	44	learned(model=1134,866aaa42,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1135,c565482c,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1136,e1824e64,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1137,920cb51c,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=400,cscale=70,m=12)@1.learned(model=1134,866aaa42,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=400,cscale=70,m=12)@1.learned(model=1135,c565482c,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=400,cscale=70,m=12)@1.learned(model=1136,e1824e64,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=400,cscale=70,m=12)@1.learned(model=1137,920cb51c,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R35	8835	400	0.003	0	500	16	8	8	600	40	20	432	0	gaz(sims=400,cvisit=600,cscale=40,m=20)@1	1138	1139	1140	1141	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1138.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1139.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1140.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1141.txt	557	528	598	692	23	24	22	20	1.215	1.204	1.200	1.171	47-169	44-172	47-169	61-155	64-152	58-158	78-138	101-115	42	48	45	48	-0.7	-1.0	-0.3	-0.1	54	52	58	68	learned(model=1138,e8cccc88,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1139,81023801,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1140,43aa6ea2,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1141,197e635b,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=600,cscale=40,m=20)@1.learned(model=1138,e8cccc88,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=600,cscale=40,m=20)@1.learned(model=1139,81023801,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=600,cscale=40,m=20)@1.learned(model=1140,43aa6ea2,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=600,cscale=40,m=20)@1.learned(model=1141,197e635b,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R36	8836	300	0.003	0	500	16	32	4	800	100	8	432	0	gaz(sims=300,cvisit=800,cscale=100,m=8)@1	1142	1143	1144	1145	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1142.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1143.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1144.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1145.txt	553	612	733	595	23	22	19	22	1.012	0.974	1.084	1.210	56-160	60-156	81-135	67-149	54-162	70-146	99-117	57-159	47	46	49	54	-1.0	-0.8	0.1	0.2	55	62	73	58	learned(model=1142,15e2350c,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1143,0d35fee8,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1144,4449306f,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1145,4ccfbe72,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=800,cscale=100,m=8)@1.learned(model=1142,15e2350c,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=800,cscale=100,m=8)@1.learned(model=1143,0d35fee8,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=800,cscale=100,m=8)@1.learned(model=1144,4449306f,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=800,cscale=100,m=8)@1.learned(model=1145,4ccfbe72,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R37	8837	300	0.01	0	8000	128	32	4	800	70	20	432	0	gaz(sims=300,cvisit=800,cscale=70,m=20)@1	1146	1147	1148	1149	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1146.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1147.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1148.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1149.txt	507	704	765	651	25	20	19	21	1.021	0.799	0.939	0.914	54-162	89-127	103-113	53-163	42-174	78-138	92-124	92-124	49	46	49	50	-0.8	-0.2	0.8	-0.0	51	73	77	66	learned(model=1146,1fb9d90a,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1147,ecce3a00,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1148,4e8fac89,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1149,34c913d4,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=800,cscale=70,m=20)@1.learned(model=1146,1fb9d90a,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=800,cscale=70,m=20)@1.learned(model=1147,ecce3a00,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=800,cscale=70,m=20)@1.learned(model=1148,4e8fac89,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=800,cscale=70,m=20)@1.learned(model=1149,34c913d4,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R38	8838	400	0.003	0.001	2000	32	128	4	800	130	16	432	0	gaz(sims=400,cvisit=800,cscale=130)@1	1150	1151	1152	1153	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1150.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1151.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1152.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1153.txt	589	493	503	485	22	25	25	25	1.305	1.210	1.264	1.221	74-142	58-158	60-156	57-159	48-168	34-182	35-181	33-183	41	42	40	45	-1.0	-0.9	-1.0	-1.5	57	48	49	47	learned(model=1150,db31baac,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1151,3267b618,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1152,3d42b8fe,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1153,fc336f7a,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=800,cscale=130)@1.learned(model=1150,db31baac,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=800,cscale=130)@1.learned(model=1151,3267b618,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=800,cscale=130)@1.learned(model=1152,3d42b8fe,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=400,cvisit=800,cscale=130)@1.learned(model=1153,fc336f7a,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R39	8839	500	0.03	0.001	8000	128	32	4	800	130	20	432	0	gaz(sims=500,cvisit=800,cscale=130,m=20)@1	1154	1155	1156	1157	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1154.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1155.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1156.txt	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1157.txt	397	489	595	534	29	25	22	24	2.418	1.608	1.486	1.419	27-189	32-184	53-163	48-168	42-174	59-157	71-145	56-160	48	46	44	44	-0.4	-1.1	-0.9	-0.8	35	46	56	51	learned(model=1154,3cf96414,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1155,138e2aa5,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1156,41cfe61e,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	learned(model=1157,4144eb43,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=800,cscale=130,m=20)@1.learned(model=1154,3cf96414,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=800,cscale=130,m=20)@1.learned(model=1155,138e2aa5,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=800,cscale=130,m=20)@1.learned(model=1156,41cfe61e,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=800,cscale=130,m=20)@1.learned(model=1157,4144eb43,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
